car_directory,cars,total,cars_70,cars_90,brand,model,year,brand_and_model,span_years,gap,cars_brand_model,cars_brand_model_70
mercedes-benz_slk-250_2014,120,274,116,112,mercedes-benz,slk-250,2014,mercedes-benz_slk-250,6,0,606,599
audi_a8_2016,90,250,86,80,audi,a8,2016,audi_a8,18,1,1796,1769
mercedes-benz_clc_2010,185,400,183,181,mercedes-benz,clc,2010,mercedes-benz_clc,4,0,466,461
kia_sorento_2013,71,225,70,70,kia,sorento,2013,kia_sorento,16,0,1849,1830
mercedes-benz_gle-400_2018,79,270,77,71,mercedes-benz,gle-400,2018,mercedes-benz_gle-400,2,0,165,162
volkswagen_passat-cc_2013,113,263,112,111,volkswagen,passat-cc,2013,volkswagen_passat-cc,8,0,798,786
bmw_x6_2012,101,219,101,98,bmw,x6,2012,bmw_x6,11,0,1209,1201
mercedes-benz_cla-250_2018,98,271,92,87,mercedes-benz,cla-250,2018,mercedes-benz_cla-250,5,0,492,475
audi_s4_2012,128,256,126,120,audi,s4,2012,audi_s4,15,1,1430,1398
ssangyong_tivoli_2018,92,214,91,88,ssangyong,tivoli,2018,ssangyong_tivoli,4,0,417,416
volkswagen_t4-caravelle_2001,82,188,81,81,volkswagen,t4-caravelle,2001,volkswagen_t4-caravelle,3,0,237,234
mini_john-cooper-works_2018,76,223,75,71,mini,john-cooper-works,2018,mini_john-cooper-works,12,1,1138,1101
maserati_quattroporte_2015,87,238,87,86,maserati,quattroporte,2015,maserati_quattroporte,14,2,1307,1291
volkswagen_amarok_2013,107,251,106,104,volkswagen,amarok,2013,volkswagen_amarok,8,0,727,715
nissan_note_2009,111,294,109,105,nissan,note,2009,nissan_note,13,0,1270,1262
volkswagen_caddy_2010,185,450,183,170,volkswagen,caddy,2010,volkswagen_caddy,18,0,1744,1711
alfa-romeo_stelvio_2018,106,273,105,102,alfa-romeo,stelvio,2018,alfa-romeo_stelvio,2,0,192,190
hyundai_accent_2008,89,207,88,87,hyundai,accent,2008,hyundai_accent,2,0,243,240
volkswagen_lupo_2004,199,378,196,194,volkswagen,lupo,2004,volkswagen_lupo,6,0,789,775
citroen_c1_2018,89,220,88,86,citroen,c1,2018,citroen_c1,13,0,1435,1410
ford_s-max_2014,92,233,91,90,ford,s-max,2014,ford_s-max,13,0,1291,1279
audi_tt_2015,94,213,93,91,audi,tt,2015,audi_tt,18,0,2359,2315
ferrari_gtc4-lusso_2017,108,289,106,100,ferrari,gtc4-lusso,2017,ferrari_gtc4-lusso,2,0,215,210
volkswagen_cc_2012,89,236,88,82,volkswagen,cc,2012,volkswagen_cc,6,0,601,590
peugeot_boxer_2009,104,211,98,90,peugeot,boxer,2009,peugeot_boxer,15,0,1723,1670
mercedes-benz_slk-230_2002,185,330,182,175,mercedes-benz,slk-230,2002,mercedes-benz_slk-230,3,0,346,339
jaguar_xj_2011,112,277,108,104,jaguar,xj,2011,jaguar_xj,15,0,1628,1588
opel_signum_2008,94,207,90,86,opel,signum,2008,opel_signum,6,0,774,764
volkswagen_polo_2011,98,205,96,93,volkswagen,polo,2011,volkswagen_polo,18,0,2069,2043
hyundai_ix35_2010,94,245,94,93,hyundai,ix35,2010,hyundai_ix35,7,0,814,802
bmw_116_2017,131,316,130,128,bmw,116,2017,bmw_116,15,0,1967,1924
chrysler_sebring_2009,136,240,136,133,chrysler,sebring,2009,chrysler_sebring,9,3,578,569
bmw_530_2011,65,204,62,59,bmw,530,2011,bmw_530,18,0,1958,1919
porsche_cayman_2017,85,207,82,76,porsche,cayman,2017,porsche_cayman,13,0,1536,1499
volkswagen_others_2004,71,170,69,68,volkswagen,others,2004,volkswagen_others,18,1,1845,1802
nissan_pulsar_2017,129,276,129,126,nissan,pulsar,2017,nissan_pulsar,5,0,560,554
ford_kuga_2015,103,254,103,102,ford,kuga,2015,ford_kuga,11,0,1023,1010
skoda_superb_2008,92,221,91,88,skoda,superb,2008,skoda_superb,16,0,1675,1654
volkswagen_eos_2009,124,217,121,117,volkswagen,eos,2009,volkswagen_eos,10,0,1271,1259
mini_cooper-s-countryman_2011,108,257,106,100,mini,cooper-s-countryman,2011,mini_cooper-s-countryman,9,0,993,972
chevrolet_spark_2010,92,209,92,89,chevrolet,spark,2010,chevrolet_spark,5,0,631,621
citroen_berlingo_2012,194,457,194,185,citroen,berlingo,2012,citroen_berlingo,18,0,2269,2224
kia_picanto_2005,100,214,100,99,kia,picanto,2005,kia_picanto,15,0,1817,1799
audi_tt_2014,118,250,115,111,audi,tt,2014,audi_tt,18,0,2359,2315
bmw_318_2002,103,221,103,94,bmw,318,2002,bmw_318,18,0,2245,2216
chevrolet_kalos_2006,115,241,114,112,chevrolet,kalos,2006,chevrolet_kalos,5,0,466,462
renault_espace_2008,87,204,83,81,renault,espace,2008,renault_espace,18,0,2067,2042
daihatsu_terios_2009,98,239,95,92,daihatsu,terios,2009,daihatsu_terios,7,0,682,669
citroen_ds4_2013,83,252,81,79,citroen,ds4,2013,citroen_ds4,8,0,837,823
peugeot_3008_2018,98,273,96,96,peugeot,3008,2018,peugeot_3008,10,0,1057,1034
hyundai_h-1_2017,85,204,83,76,hyundai,h-1,2017,hyundai_h-1,10,5,447,433
mercedes-benz_b-200_2012,65,199,63,60,mercedes-benz,b-200,2012,mercedes-benz_b-200,14,0,1457,1426
mercedes-benz_x-250_2018,137,372,134,129,mercedes-benz,x-250,2018,mercedes-benz_x-250,2,0,212,208
hyundai_i40_2016,125,365,125,121,hyundai,i40,2016,hyundai_i40,8,0,1007,1003
fiat_scudo_2014,167,383,166,164,fiat,scudo,2014,fiat_scudo,16,1,1688,1667
mercedes-benz_clk-320_2002,110,209,105,97,mercedes-benz,clk-320,2002,mercedes-benz_clk-320,8,0,1083,1064
bmw_523_2005,108,228,108,104,bmw,523,2005,bmw_523,11,3,748,741
mazda_2_2018,153,349,153,147,mazda,2,2018,mazda_2,16,0,1802,1780
mercedes-benz_ml-350_2012,112,284,111,108,mercedes-benz,ml-350,2012,mercedes-benz_ml-350,11,1,900,894
isuzu_d-max_2015,96,212,94,91,isuzu,d-max,2015,isuzu_d-max,7,0,663,650
ferrari_california_2009,134,248,130,125,ferrari,california,2009,ferrari_california,9,0,1120,1084
bmw_640_2011,114,218,113,110,bmw,640,2011,bmw_640,8,0,900,885
mini_cooper-sd_2018,79,240,79,76,mini,cooper-sd,2018,mini_cooper-sd,8,0,873,853
bmw_735_2003,73,142,73,68,bmw,735,2003,bmw_735,1,0,73,73
bmw_750_2011,99,235,99,96,bmw,750,2011,bmw_750,10,0,914,898
porsche_cayenne_2015,99,255,98,95,porsche,cayenne,2015,porsche_cayenne,16,0,1694,1674
mercedes-benz_200_2006,135,240,135,132,mercedes-benz,200,2006,mercedes-benz_200,18,2,1862,1852
bmw_335_2016,82,214,81,80,bmw,335,2016,bmw_335,13,0,1583,1557
citroen_c4-picasso_2009,119,296,118,116,citroen,c4-picasso,2009,citroen_c4-picasso,12,0,1412,1394
